                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.58454,                0.48047,                0.99989,                0.78448,                 0.6823,                0.71913,                 0.4308,                 1.4704,                 1.3612,                 1.7911,             0.00041005,             0.00041005,             0.00041005
                    131,                0.57137,                 0.4768,                0.99491,                 0.7854,                0.70554,                0.73394,                0.44546,                 1.4559,                 1.3414,                 1.7653,             0.00040769,             0.00040769,             0.00040769
                    132,                0.58206,                0.49257,                 1.0011,                0.80988,                0.69182,                0.74623,                0.46616,                 1.4516,                 1.3007,                 1.7165,             0.00040534,             0.00040534,             0.00040534
                    133,                0.57561,                 0.4761,                 1.0032,                 0.7954,                0.71089,                0.74644,                0.45155,                 1.4297,                 1.3774,                 1.7118,             0.00040298,             0.00040298,             0.00040298
                    134,                0.57867,                0.47461,                0.99882,                0.79309,                 0.7017,                0.73522,                0.44689,                 1.5167,                 1.3978,                 1.7877,             0.00040063,             0.00040063,             0.00040063
                    135,                0.57566,                0.47377,                0.99978,                0.82388,                0.72323,                0.75564,                0.45595,                 1.4523,                 1.2767,                 1.7628,             0.00039827,             0.00039827,             0.00039827
                    136,                0.56984,                0.47171,                0.99064,                0.84314,                0.65772,                 0.7532,                0.44674,                 1.4656,                 1.3193,                 1.7633,             0.00039591,             0.00039591,             0.00039591
                    137,                0.54258,                0.45146,                0.97654,                0.78343,                0.67893,                0.74727,                0.44527,                 1.4793,                 1.3955,                 1.7933,             0.00039356,             0.00039356,             0.00039356
                    138,                0.55349,                0.45791,                0.99169,                0.78887,                 0.6885,                0.76141,                0.43973,                 1.5146,                 1.3621,                 1.8194,              0.0003912,              0.0003912,              0.0003912
                    139,                0.56034,                0.46722,                0.99482,                0.79881,                0.70539,                0.76906,                0.46721,                 1.4665,                 1.2721,                 1.7626,             0.00038884,             0.00038884,             0.00038884
                    140,                 0.5515,                0.46381,                0.98923,                0.83659,                0.69675,                0.76952,                0.46113,                 1.4793,                 1.3892,                 1.7613,             0.00038649,             0.00038649,             0.00038649
                    141,                0.55199,                0.46022,                0.98751,                0.80228,                0.71792,                0.76661,                0.47205,                 1.4402,                 1.3511,                 1.7159,             0.00038413,             0.00038413,             0.00038413
                    142,                0.54537,                0.46304,                0.99172,                0.82521,                0.70055,                 0.7654,                0.46861,                 1.4385,                 1.4145,                 1.7347,             0.00038178,             0.00038178,             0.00038178
                    143,                0.54921,                0.45434,                0.97827,                 0.8101,                0.63253,                0.72903,                0.45151,                 1.4956,                 1.5683,                 1.7622,             0.00037942,             0.00037942,             0.00037942
                    144,                0.55028,                0.46047,                0.98838,                0.79916,                0.70574,                0.75728,                0.47165,                 1.4629,                 1.2934,                  1.781,             0.00037706,             0.00037706,             0.00037706
                    145,                0.53747,                  0.442,                0.97923,                0.78786,                0.73713,                0.76093,                0.46047,                 1.4797,                  1.254,                 1.7824,             0.00037471,             0.00037471,             0.00037471
                    146,                0.54498,                0.44401,                0.98447,                0.72449,                0.73721,                0.75798,                0.46541,                 1.4227,                  1.265,                 1.7178,             0.00037235,             0.00037235,             0.00037235
                    147,                0.53892,                0.44837,                0.97843,                0.76381,                0.69519,                0.74743,                0.45455,                 1.4949,                 1.3585,                 1.7939,             0.00036999,             0.00036999,             0.00036999
                    148,                0.54467,                0.44141,                0.98919,                0.75959,                0.69756,                0.75428,                 0.4542,                 1.4857,                 1.4764,                 1.7688,             0.00036764,             0.00036764,             0.00036764
                    149,                0.54282,                 0.4435,                0.98258,                0.72579,                0.70541,                0.75114,                0.45906,                 1.4601,                 1.4607,                 1.7349,             0.00036528,             0.00036528,             0.00036528
                    150,                0.55303,                0.45272,                0.98887,                0.76524,                0.68953,                0.74558,                0.45163,                 1.4814,                  1.404,                 1.7672,             0.00036293,             0.00036293,             0.00036293
                    151,                 0.5324,                0.43585,                 0.9827,                0.77485,                0.72389,                0.77022,                0.46435,                  1.444,                 1.2398,                  1.744,             0.00036057,             0.00036057,             0.00036057
                    152,                0.53773,                0.43003,                0.98099,                0.79431,                0.71723,                0.76538,                0.46361,                 1.4707,                 1.2871,                 1.7694,             0.00035821,             0.00035821,             0.00035821
                    153,                0.53417,                0.45151,                0.97809,                0.75449,                0.71758,                0.73778,                0.44836,                 1.4952,                  1.435,                 1.8007,             0.00035586,             0.00035586,             0.00035586
                    154,                0.54382,                0.45588,                0.98791,                0.84292,                0.67619,                0.76476,                0.45746,                 1.5104,                 1.3779,                 1.8139,              0.0003535,              0.0003535,              0.0003535
                    155,                0.52841,                0.43019,                0.97405,                0.79203,                0.72872,                0.78428,                0.46857,                 1.4694,                 1.3298,                 1.8165,             0.00035115,             0.00035115,             0.00035115
                    156,                0.52883,                0.43595,                0.97663,                0.82438,                0.68709,                0.77373,                0.46844,                  1.453,                 1.2752,                 1.7743,             0.00034879,             0.00034879,             0.00034879
                    157,                0.52545,                0.42802,                0.96827,                0.78885,                0.74705,                0.77303,                0.46455,                 1.4527,                 1.3356,                 1.7655,             0.00034643,             0.00034643,             0.00034643
                    158,                0.52339,                0.42955,                0.96744,                0.80648,                0.71865,                0.78001,                0.46849,                 1.4619,                 1.2965,                 1.7592,             0.00034408,             0.00034408,             0.00034408
                    159,                0.53106,                0.43263,                0.97871,                0.76048,                0.73063,                0.76928,                0.48003,                 1.4531,                 1.4027,                 1.7465,             0.00034172,             0.00034172,             0.00034172
                    160,                0.52364,                0.42819,                0.97718,                0.76163,                0.73967,                0.76204,                0.46264,                 1.4613,                  1.384,                  1.755,             0.00033936,             0.00033936,             0.00033936
                    161,                0.52009,                0.43018,                0.97322,                0.84674,                 0.6783,                0.75997,                0.47301,                 1.4879,                 1.3704,                 1.7997,             0.00033701,             0.00033701,             0.00033701
                    162,                0.52784,                0.43414,                0.97482,                0.82253,                0.67735,                0.74826,                0.44509,                 1.4915,                 1.4447,                 1.7843,             0.00033465,             0.00033465,             0.00033465
                    163,                0.51264,                0.42339,                0.96767,                0.80314,                0.68644,                0.73865,                0.45531,                 1.4689,                 1.4114,                  1.778,              0.0003323,              0.0003323,              0.0003323
                    164,                0.52701,                0.42488,                0.97245,                0.80552,                0.65946,                0.72829,                0.44684,                 1.4444,                 1.4402,                 1.7833,             0.00032994,             0.00032994,             0.00032994
                    165,                0.50572,                0.41739,                0.97119,                0.82664,                0.65963,                0.75745,                0.46642,                 1.4483,                 1.4595,                 1.7685,             0.00032758,             0.00032758,             0.00032758
                    166,                0.51283,                0.40944,                0.96625,                0.81574,                0.68367,                0.75184,                0.46146,                  1.449,                 1.3287,                 1.7942,             0.00032523,             0.00032523,             0.00032523
                    167,                0.51668,                0.41969,                0.97413,                0.72075,                0.72596,                0.73591,                0.45325,                 1.4617,                 1.4035,                 1.7727,             0.00032287,             0.00032287,             0.00032287
                    168,                0.50465,                0.41022,                0.96453,                0.75906,                0.68969,                0.75296,                0.47092,                 1.4373,                 1.3867,                 1.7553,             0.00032051,             0.00032051,             0.00032051
                    169,                 0.4926,                0.40719,                0.95928,                0.76238,                0.69098,                0.74619,                0.45366,                 1.4415,                 1.4413,                 1.7583,             0.00031816,             0.00031816,             0.00031816
                    170,                0.51154,                0.41916,                0.96425,                0.76295,                0.68015,                0.72683,                0.45302,                   1.43,                 1.4371,                 1.7943,              0.0003158,              0.0003158,              0.0003158
                    171,                0.50773,                0.42122,                0.96685,                0.75965,                0.71006,                0.73496,                0.43965,                 1.4673,                 1.4665,                 1.8091,             0.00031345,             0.00031345,             0.00031345
                    172,                0.49596,                0.40467,                0.95136,                0.84191,                0.66004,                0.74657,                0.45013,                 1.4423,                 1.4594,                 1.7677,             0.00031109,             0.00031109,             0.00031109
                    173,                 0.4962,                0.41372,                 0.9572,                0.78216,                0.72911,                0.75923,                0.46323,                 1.4453,                  1.414,                 1.7786,             0.00030873,             0.00030873,             0.00030873
                    174,                0.50841,                0.40477,                0.96275,                0.75945,                0.72338,                0.74662,                0.45277,                 1.4563,                 1.3645,                 1.7752,             0.00030638,             0.00030638,             0.00030638
                    175,                0.50484,                0.40758,                0.96329,                0.81502,                0.68744,                0.75468,                0.46106,                 1.4329,                 1.3607,                 1.7499,             0.00030402,             0.00030402,             0.00030402
                    176,                0.48464,                0.40208,                0.95656,                0.77262,                0.72613,                0.77213,                0.46621,                 1.4548,                 1.2649,                 1.7684,             0.00030167,             0.00030167,             0.00030167
                    177,                0.48954,                0.39841,                0.95464,                0.73896,                0.73184,                0.76644,                0.46763,                  1.446,                 1.3443,                  1.763,             0.00029931,             0.00029931,             0.00029931
                    178,                0.50129,                0.39864,                0.96196,                0.81136,                0.65039,                0.75131,                0.46304,                 1.4415,                 1.3675,                  1.736,             0.00029695,             0.00029695,             0.00029695
                    179,                0.50348,                0.42099,                0.96505,                0.81236,                0.66369,                0.75982,                0.46523,                 1.4642,                 1.4039,                 1.7694,              0.0002946,              0.0002946,              0.0002946
                    180,                 0.4901,                 0.4002,                0.96152,                0.80323,                0.68527,                0.76663,                0.45974,                 1.4814,                 1.3837,                 1.8127,             0.00029224,             0.00029224,             0.00029224
                    181,                0.49263,                0.41081,                0.96189,                 0.7518,                0.73142,                0.76668,                 0.4597,                 1.4896,                 1.4327,                 1.8396,             0.00028988,             0.00028988,             0.00028988
                    182,                0.48275,                0.40189,                0.96091,                0.73778,                0.72634,                  0.758,                0.46134,                 1.4626,                 1.3528,                 1.8086,             0.00028753,             0.00028753,             0.00028753
                    183,                 0.4968,                0.40806,                0.95834,                0.78462,                0.70395,                0.77079,                0.46091,                 1.4569,                 1.3404,                 1.8063,             0.00028517,             0.00028517,             0.00028517
                    184,                0.48788,                0.39532,                0.96117,                0.82282,                0.71282,                0.76653,                0.46024,                 1.4757,                 1.4282,                 1.8254,             0.00028282,             0.00028282,             0.00028282
                    185,                0.49248,                0.40604,                0.96451,                0.81006,                0.70884,                0.76396,                0.46158,                 1.4719,                 1.4153,                 1.8153,             0.00028046,             0.00028046,             0.00028046
                    186,                0.48976,                0.39923,                0.96003,                0.82852,                0.67021,                0.76499,                0.46261,                 1.4665,                 1.3583,                 1.8093,              0.0002781,              0.0002781,              0.0002781
                    187,                0.48804,                0.38618,                0.95032,                0.73953,                0.73615,                0.76735,                0.46049,                  1.465,                 1.4042,                  1.799,             0.00027575,             0.00027575,             0.00027575
                    188,                0.47379,                0.39818,                0.95007,                0.80038,                0.69728,                0.76952,                0.46281,                 1.4574,                 1.3243,                 1.7805,             0.00027339,             0.00027339,             0.00027339
                    189,                0.47787,                0.39974,                0.95568,                0.78046,                 0.7126,                0.77012,                0.46476,                  1.478,                 1.3551,                 1.8209,             0.00027103,             0.00027103,             0.00027103
                    190,                0.47254,                0.38736,                0.94573,                0.78713,                0.72055,                0.75586,                0.47608,                 1.4656,                 1.4191,                 1.8023,             0.00026868,             0.00026868,             0.00026868
                    191,                0.47057,                0.39213,                0.95113,                0.77172,                0.72185,                0.75364,                0.45492,                 1.4688,                 1.3791,                 1.8273,             0.00026632,             0.00026632,             0.00026632
                    192,                0.48347,                0.39631,                0.95524,                0.76514,                0.73566,                0.75555,                0.45377,                 1.4636,                 1.3413,                 1.8339,             0.00026397,             0.00026397,             0.00026397
                    193,                0.47581,                0.38345,                0.95174,                0.79945,                0.71308,                0.76786,                0.46272,                 1.4736,                 1.3937,                 1.8313,             0.00026161,             0.00026161,             0.00026161
                    194,                0.47371,                0.39282,                0.94402,                0.76544,                0.73246,                0.76697,                0.47258,                 1.4693,                 1.3791,                 1.8157,             0.00025925,             0.00025925,             0.00025925
                    195,                0.47144,                0.38774,                0.94841,                0.75053,                0.73415,                0.76867,                0.46746,                 1.4769,                 1.3602,                  1.834,              0.0002569,              0.0002569,              0.0002569
                    196,                0.46538,                0.38829,                0.94725,                0.78028,                0.73695,                0.76869,                0.47034,                 1.4453,                 1.3899,                 1.8072,             0.00025454,             0.00025454,             0.00025454
                    197,                 0.4633,                0.38003,                 0.9485,                 0.7826,                0.73014,                 0.7622,                0.46863,                 1.4587,                 1.3905,                 1.8174,             0.00025218,             0.00025218,             0.00025218
                    198,                0.46367,                0.37239,                0.94678,                0.78973,                0.72482,                0.77287,                0.46969,                 1.4664,                 1.3777,                 1.8182,             0.00024983,             0.00024983,             0.00024983
                    199,                0.46847,                0.38231,                0.95456,                0.75615,                0.73006,                0.75697,                0.44957,                 1.4593,                 1.3858,                 1.8003,             0.00024747,             0.00024747,             0.00024747
                    200,                 0.4657,                0.38994,                0.94512,                0.81704,                0.69643,                0.75635,                  0.449,                 1.4739,                 1.3899,                 1.8136,             0.00024512,             0.00024512,             0.00024512
                    201,                0.46743,                0.38921,                0.94417,                 0.7786,                0.72062,                0.76784,                0.46065,                 1.4522,                 1.3363,                 1.8099,             0.00024276,             0.00024276,             0.00024276
                    202,                0.46306,                 0.3752,                0.94767,                0.79154,                 0.6835,                0.75484,                0.45721,                 1.4646,                 1.3911,                 1.8058,              0.0002404,              0.0002404,              0.0002404
                    203,                0.46738,                0.38062,                0.94554,                0.73929,                 0.7324,                0.75655,                 0.4491,                 1.4651,                 1.4079,                 1.8179,             0.00023805,             0.00023805,             0.00023805
                    204,                0.46525,                 0.3696,                 0.9458,                0.74727,                0.70837,                 0.7613,                0.45381,                 1.4719,                 1.5095,                 1.8289,             0.00023569,             0.00023569,             0.00023569
                    205,                0.47115,                0.38064,                0.94476,                0.79393,                0.68958,                0.77358,                0.45828,                 1.4734,                 1.5025,                 1.8137,             0.00023334,             0.00023334,             0.00023334
                    206,                0.46113,                0.37669,                0.94516,                0.76333,                0.72491,                0.76681,                0.46874,                 1.4478,                 1.3861,                 1.7876,             0.00023098,             0.00023098,             0.00023098
                    207,                0.46176,                0.37566,                 0.9486,                0.80207,                 0.6844,                0.76255,                0.45774,                 1.4481,                 1.4184,                 1.7867,             0.00022862,             0.00022862,             0.00022862
                    208,                0.46636,                0.37747,                0.94849,                0.75609,                0.70741,                0.75484,                0.45779,                 1.4439,                 1.4654,                 1.7782,             0.00022627,             0.00022627,             0.00022627
                    209,                0.45755,                0.37283,                0.94308,                0.78369,                0.67001,                0.75748,                0.46349,                 1.4227,                 1.4991,                 1.7824,             0.00022391,             0.00022391,             0.00022391
                    210,                 0.4526,                0.36997,                0.94603,                0.81985,                0.64592,                0.76077,                 0.4619,                 1.4392,                 1.4264,                 1.7936,             0.00022155,             0.00022155,             0.00022155
                    211,                0.45966,                0.37249,                0.94709,                0.80783,                0.67827,                0.75259,                0.45813,                 1.4535,                 1.4821,                 1.8132,              0.0002192,              0.0002192,              0.0002192
                    212,                0.45248,                0.37052,                 0.9414,                0.79291,                0.68325,                0.74842,                0.45359,                 1.4576,                 1.5069,                 1.8121,             0.00021684,             0.00021684,             0.00021684
                    213,                0.45198,                0.36774,                0.94032,                 0.7945,                0.68254,                0.74912,                0.44626,                 1.4761,                 1.5114,                 1.8297,             0.00021449,             0.00021449,             0.00021449
                    214,                0.44913,                0.36245,                0.93683,                0.81371,                0.70494,                0.76657,                0.45656,                 1.4498,                 1.4185,                 1.8158,             0.00021213,             0.00021213,             0.00021213
                    215,                0.44785,                 0.3587,                0.93911,                 0.8114,                0.69114,                0.77395,                0.46315,                 1.4568,                 1.3791,                 1.8227,             0.00020977,             0.00020977,             0.00020977
                    216,                0.43456,                0.35231,                0.93315,                0.82245,                 0.6847,                0.77692,                 0.4664,                 1.4476,                 1.3887,                 1.8079,             0.00020742,             0.00020742,             0.00020742
                    217,                0.44869,                0.36011,                0.93972,                0.78596,                0.70247,                0.76055,                0.46195,                 1.4495,                 1.4234,                 1.8072,             0.00020506,             0.00020506,             0.00020506
                    218,                0.44375,                0.35963,                0.93301,                0.76034,                0.71764,                0.76691,                0.46589,                 1.4346,                 1.4262,                 1.7822,              0.0002027,              0.0002027,              0.0002027
                    219,                0.43094,                0.35566,                0.93163,                0.78038,                0.70478,                0.77204,                0.47079,                 1.4358,                 1.3674,                 1.7968,             0.00020035,             0.00020035,             0.00020035
                    220,                0.44192,                 0.3598,                0.94057,                0.79131,                0.69298,                0.75458,                0.46507,                 1.4364,                 1.3843,                  1.809,             0.00019799,             0.00019799,             0.00019799
                    221,                0.43603,                0.35485,                0.93799,                0.78617,                0.73016,                0.76792,                0.46434,                 1.4618,                 1.3478,                  1.838,             0.00019564,             0.00019564,             0.00019564
                    222,                0.43389,                0.35132,                0.93099,                0.78541,                0.71282,                0.75677,                0.46318,                 1.4631,                 1.3902,                 1.8166,             0.00019328,             0.00019328,             0.00019328
                    223,                0.44412,                 0.3634,                0.93693,                0.81371,                0.67405,                0.75706,                0.46038,                 1.4432,                 1.4239,                 1.7863,             0.00019092,             0.00019092,             0.00019092
                    224,                0.44647,                0.36508,                 0.9403,                0.79061,                0.70523,                0.76601,                0.46595,                 1.4509,                 1.4253,                 1.8067,             0.00018857,             0.00018857,             0.00018857
                    225,                0.43772,                0.35817,                0.93616,                 0.8339,                0.67563,                0.76914,                0.47144,                 1.4618,                 1.4489,                 1.8048,             0.00018621,             0.00018621,             0.00018621
                    226,                0.44194,                0.36354,                0.93542,                0.80855,                0.70429,                0.77259,                0.47197,                 1.4466,                 1.4181,                   1.82,             0.00018385,             0.00018385,             0.00018385
                    227,                0.43155,                0.34512,                0.93401,                 0.7959,                 0.7147,                 0.7669,                0.46797,                 1.4645,                 1.4661,                 1.8399,              0.0001815,              0.0001815,              0.0001815
                    228,                0.42568,                0.35574,                0.92684,                0.80178,                0.70005,                0.77161,                0.47387,                 1.4516,                 1.4503,                 1.8223,             0.00017914,             0.00017914,             0.00017914
                    229,                0.44049,                0.35948,                0.93768,                0.83592,                0.68219,                0.76663,                0.46762,                 1.4429,                 1.4097,                 1.8011,             0.00017679,             0.00017679,             0.00017679
                    230,                0.43334,                0.35388,                0.93116,                0.80594,                 0.6956,                0.76481,                0.46982,                 1.4445,                  1.402,                 1.8014,             0.00017443,             0.00017443,             0.00017443
                    231,                0.42951,                0.34524,                0.92868,                0.80436,                0.69276,                 0.7608,                0.46899,                 1.4344,                 1.4428,                 1.8073,             0.00017207,             0.00017207,             0.00017207
                    232,                0.42575,                0.34617,                0.93317,                 0.8035,                0.67366,                0.75497,                0.46352,                 1.4293,                 1.4058,                 1.8088,             0.00016972,             0.00016972,             0.00016972
                    233,                0.43174,                0.35513,                0.93319,                0.75029,                0.73459,                0.75983,                0.46689,                  1.446,                 1.3733,                 1.8255,             0.00016736,             0.00016736,             0.00016736
                    234,                0.43387,                0.35315,                0.93165,                0.77818,                0.71646,                0.76118,                0.46572,                 1.4259,                 1.4101,                 1.8111,             0.00016501,             0.00016501,             0.00016501
                    235,                0.42479,                0.34708,                0.92926,                0.82397,                0.66435,                0.75802,                0.46458,                 1.4167,                 1.3603,                 1.7996,             0.00016265,             0.00016265,             0.00016265
                    236,                0.43062,                0.35423,                0.93345,                0.78401,                 0.7077,                0.75718,                0.46592,                   1.42,                 1.4378,                 1.7865,             0.00016029,             0.00016029,             0.00016029
                    237,                0.43049,                0.34506,                0.93091,                0.77883,                0.70319,                0.75325,                 0.4626,                 1.4203,                 1.4063,                 1.7888,             0.00015794,             0.00015794,             0.00015794
                    238,                0.42309,                0.34585,                0.93562,                0.76282,                0.72337,                0.75718,                0.46499,                 1.4342,                 1.4154,                 1.7922,             0.00015558,             0.00015558,             0.00015558
                    239,                 0.4159,                 0.3419,                0.92807,                0.76193,                0.72326,                0.75881,                0.46192,                 1.4429,                 1.4005,                 1.8127,             0.00015322,             0.00015322,             0.00015322
                    240,                0.42064,                0.33581,                0.92608,                0.76639,                0.71138,                0.75564,                0.45488,                 1.4378,                 1.4139,                 1.8225,             0.00015087,             0.00015087,             0.00015087
                    241,                0.41189,                0.33364,                0.92715,                0.78173,                0.72706,                0.76701,                0.46379,                 1.4406,                 1.4249,                 1.8067,             0.00014851,             0.00014851,             0.00014851
                    242,                0.42579,                0.34971,                0.92584,                0.79682,                0.67978,                0.75719,                0.46259,                 1.4338,                 1.4607,                 1.8077,             0.00014616,             0.00014616,             0.00014616
                    243,                0.41612,                0.34469,                0.92738,                0.75863,                0.72191,                0.75357,                0.45566,                  1.439,                 1.4477,                  1.818,              0.0001438,              0.0001438,              0.0001438
                    244,                0.42121,                0.33941,                0.92816,                0.78836,                0.72043,                0.76358,                0.46801,                 1.4266,                  1.404,                 1.8014,             0.00014144,             0.00014144,             0.00014144
                    245,                0.41689,                 0.3345,                0.92627,                0.76224,                0.72045,                 0.7486,                0.45767,                 1.4476,                 1.4541,                 1.8228,             0.00013909,             0.00013909,             0.00013909
                    246,                0.41894,                0.34244,                0.92947,                0.77888,                0.71567,                0.74798,                0.45954,                 1.4356,                 1.3925,                 1.8113,             0.00013673,             0.00013673,             0.00013673
                    247,                0.41679,                0.33898,                0.92945,                0.82294,                0.69406,                0.75309,                0.45975,                 1.4359,                 1.4462,                  1.803,             0.00013437,             0.00013437,             0.00013437
                    248,                0.41198,                0.33459,                0.92034,                0.81532,                0.69512,                0.75648,                0.46144,                 1.4235,                 1.4691,                 1.7742,             0.00013202,             0.00013202,             0.00013202
                    249,                0.41276,                0.33637,                0.92455,                0.79853,                0.69416,                0.76224,                0.46817,                 1.4225,                 1.4935,                 1.7788,             0.00012966,             0.00012966,             0.00012966
                    250,                0.40556,                 0.3303,                 0.9235,                0.80961,                0.67417,                0.74885,                0.45511,                  1.438,                 1.5016,                 1.7951,             0.00012731,             0.00012731,             0.00012731
                    251,                0.41053,                0.32532,                0.92768,                0.81431,                0.68245,                0.75447,                0.45621,                 1.4106,                 1.4255,                 1.7889,             0.00012495,             0.00012495,             0.00012495
                    252,                0.41955,                0.33455,                0.92722,                0.80554,                0.68242,                0.74709,                0.45905,                 1.4223,                 1.4433,                 1.7953,             0.00012259,             0.00012259,             0.00012259
                    253,                0.40402,                0.33427,                0.91728,                0.83377,                0.68033,                0.75289,                0.46781,                 1.4277,                 1.4549,                 1.8155,             0.00012024,             0.00012024,             0.00012024
                    254,                0.40024,                0.32732,                0.91811,                0.77429,                0.71923,                0.76243,                0.46722,                 1.4205,                 1.4569,                 1.7978,             0.00011788,             0.00011788,             0.00011788
                    255,                0.40336,                0.33179,                0.92191,                0.81613,                0.68246,                0.75378,                0.46547,                 1.4323,                 1.4816,                 1.7984,             0.00011553,             0.00011553,             0.00011553
                    256,                0.40238,                0.33406,                0.92162,                0.81226,                0.68576,                0.76204,                0.47446,                 1.4164,                 1.4246,                 1.7822,             0.00011317,             0.00011317,             0.00011317
                    257,                0.39324,                0.31946,                0.91872,                0.79317,                0.70545,                 0.7681,                0.47483,                 1.4353,                 1.3982,                 1.8144,             0.00011081,             0.00011081,             0.00011081
                    258,                0.40704,                0.33244,                0.92619,                0.76525,                0.71775,                0.76805,                0.46793,                 1.4239,                 1.4414,                 1.8074,             0.00010846,             0.00010846,             0.00010846
                    259,                0.40249,                0.32511,                0.91758,                0.77235,                 0.7202,                0.76709,                0.47271,                 1.4273,                 1.4635,                 1.8026,              0.0001061,              0.0001061,              0.0001061
